client_name,address,coordinates,edge_id,u,v,key,edge_name,highway,distance_m
Mw. van Dijk 45,"Heerenweg 205A, 6414AG Heerlen",50.9221545 5.975525,6615,6817239794,6817239796,0,Heerenweg,secondary,15.526910691859188
Mw. van der Meer 46,"Hertstraat 1, 6414CH Heerlen",50.9155146 5.9745851,4454,42062463,42063684,0,Heerenweg,secondary,13.834223378179455
Mw. van Loon 47,"Grasbroekerweg 30A, 6412BE Heerlen",50.8943697 5.975717,2576,42040949,42042734,0,Grasbroekerweg,residential,15.045019183598004
Dhr. Vos 48,"Pancratiusstraat 96, 6411KC Heerlen",50.8882602 5.9810893,6120,3345862100,42033706,0,Pancratiusstraat | Gasthuisstraat | Bongerd,residential,24.934825894315026
Dhr. Jacobs 49,"Hofstraat 66, 6414SX Heerlen",50.9245405 5.973012,5086,42071572,42071662,0,Hofstraat,residential,24.154110039192336
Dhr. Hermans 50,"Homeruspassage 18, 6411AX Heerlen",50.8858304 5.9698793,2021,42029821,42031290,0,,trunk_link,54.70918736029953
Dhr. Hendriks 51,"Peter Schunckstraat 254, 6418XH Heerlen",50.8630865 6.0082392,224,41995231,41995251,1,Peter Schunckstraat,residential,13.646429116019196
Mw. de Graaf 52,"Netelstraat 83, 6413SN Heerlen",50.917894 5.9580022,4565,42065068,42066431,0,Netelstraat,residential,12.470251191209233
Dhr. de Graaf 53,"Ganzeweide 156A, 6413GJ Heerlen",50.9173265 5.9508855,4528,42063351,42064957,0,Ganzeweide,tertiary,23.589946272475437
Dhr. Bakker 54,"Vergiliusstraat 1A, 6417XA Heerlen",50.8779301 5.9797512,1527,42019504,42019912,0,Vergiliusstraat,residential,23.279634831250295
Mw. de Graaf 55,"Frans Halsstraat 6, 6415TH Heerlen",50.9003376 5.9904336,3421,42048219,42048291,0,Frans Halsstraat,living_street,11.539642687771048
Mw. de Vries 56,"Mesdagstraat 27, 6415TK Heerlen",50.8987633 5.9902372,3195,42046301,42047165,0,Mesdagstraat,residential,19.190490299862606
Mw. Kuipers 57,"Liviusstraat 10-GB18,  Heerlen",50.8765557 5.978455,1377,42016374,42016580,0,Liviusstraat,residential,9.342689787253429
Mw. Jacobs 58,"Dillegaard 144-GB45,  Heerlen",50.8704047 5.9794507,675,42006803,42006291,0,Dillegaard,living_street,21.78109255801472
Mw. Bakker 59,"Maanplein 35, 6412AZ Heerlen",50.8918475 5.9746256,5372,453163372,713243025,0,Spoorsingel,tertiary,21.77413052983626
Mw. Peters 60,"Dr. de Visserstraat 6, 6415HJ Heerlen",50.8979843 5.9881059,2982,42044822,42045886,0,Doctor de Visserstraat,residential,8.102584664038663
Dhr. Jacobs 61,"Anemoon 12, 6418NM Heerlen",50.8610292 6.0006587,6012,2988595330,5379115562,0,Anemoon,residential,14.57546149499936
Dhr. Vermeulen 62,"Putgraaf 5, 6411GT Heerlen",50.8865314 5.9815941,2155,42032567,842289115,0,Putgraaf,tertiary,13.294119537211209
Dhr. Schouten 63,"Putgraaf 478, 6411KN Heerlen",50.8870305 5.9850058,2164,42033003,42032089,0,Groene Boord,tertiary,30.806634360231275
Mw. Meijer 64,"Dillegaard 191, 6417HL Heerlen",50.8704124 5.9795401,631,42006291,42006803,0,Dillegaard,living_street,15.919009879092949
Mw. van Leeuwen 65,"Promenade 181, 6411JG Heerlen",50.8869583 5.9754659,6412,5302126526,42032211,0,Geleenstraat,residential | living_street,51.03507838551665
Mw. van Dijk 66,"Maanplein 34, 6412AZ Heerlen",50.8918468 5.9746146,5372,453163372,713243025,0,Spoorsingel,tertiary,22.12535596635496
Mw. Bos 67,"Johannes Vermeerstraat 4, 6415TR Heerlen",50.8997723 5.9933272,3340,42047589,42048536,0,Johannes Vermeerstraat,residential,10.10348276263859
Dhr. van den Berg 68,"Nazarethstraat 30, 6418GD Heerlen",50.868163 6.0076985,435,42002836,42003042,0,Nazarethstraat,residential,25.524401585460208
Mw. Meijer 69,"Raadhuisplein 18-K49, 6411HK Heerlen",50.8858869 5.9770839,2078,42030997,1723784553,0,Coriovallumstraat,tertiary,19.11924877146843
Dhr. Willems 70,"Leienhoesstraat 30, 6413CG Heerlen",50.9140979 5.9654213,4335,42061495,42061834,0,Leienhoesstraat,residential,13.081354023345737
Mw. Mulder 71,"Pancratiusstraat 50, 6411KC Heerlen",50.8882901 5.9810052,2205,42033706,3345862100,0,Pancratiusstraat | Gasthuisstraat | Bongerd,residential,20.22329699135109
Dhr. Dekker 72,"Titus Brandsmastraat 25, 6414BK Heerlen",50.9142258 5.9689164,4363,42061688,42061470,0,Titus Brandsmastraat,residential,10.951766448450552
Mw. Jansen 73,"Edisonstraat 61, 6412TR Heerlen",50.9009003 5.9725944,3423,42048232,42050531,0,Palemigerboord,tertiary,32.32134013769437
Mw. de Boer 74,"Johannes XXIII-singel 92-GB07,  Heerlen",50.8744374 5.9919866,1065,42012260,42013138,0,Johannes XXIII-singel,residential,22.359629536033673
Dhr. Schouten 75,"Tulpstraat 60, 6414RE Heerlen",50.9238593 5.9635871,5093,42071604,42071791,0,Asterstraat | Tulpstraat,residential,12.145090991336629
Mw. Martens 76,"Geerstraat 258, 6411NW Heerlen",50.8884582 5.9736771,2175,42033188,1505263383,0,Geerstraat,residential,14.356674566958054
Mw. Postma 77,"Van Weerden Poelmanstraat 50-GB06,  Heerlen",50.8752985 5.9825716,1204,42014347,42015011,0,Van Weerden Poelmanstraat,unclassified,36.09744293072857
Dhr. Vermeulen 78,"Annie M.G. Schmidt-plantsoen 3, 6416VT Heerlen",50.8863785 6.0024001,6815,9529496310,9529496287,1,Annie M.G. Schmidt-plantsoen,residential,10.243461018588366
Dhr. van der Meer 79,"Molenwei 354, 6412WE Heerlen",50.8932101 5.9815715,2566,42040822,42039185,0,Schandelerstraat,residential,32.111215336961706
Mw. Peters 80,"Bredastraat 5, 6415AS Heerlen",50.8927348 5.9957666,2472,42039857,42040916,0,Bredastraat,tertiary,17.887463271604314
Mw. Willems 81,"Schaesbergerweg 101A, 6415AD Heerlen",50.8914177 5.9908083,2377,42037890,3734568230,0,Schaesbergerweg,tertiary,22.508526686483293
Dhr. Hermans 82,"Kloosterkoolhof 28F, 6415XT Heerlen",50.8913671 5.9877201,2352,42037383,42040277,0,Kloosterkoolhof,residential,11.416870121888985
Mw. Kok 83,"Donderdagstraat 9-GB38,  Heerlen",50.8853564 5.9958273,2032,42030143,42029219,0,Joost van Vondelstraat,residential,48.31539490037535
Dhr. Peters 84,"Uilestraat 10, 6411BX Heerlen",50.8861588 5.9763399,2069,42030829,42031373,0,Uilestraat,residential,15.157654242980852
Dhr. de Jong 85,"Winterstraat 14, 6411GM Heerlen",50.8846645 5.9852309,1961,42028870,42029506,0,Winterstraat,residential,14.75546531137489
Mw. Bakker 86,"Beitel 106, 6422PB Heerlen",50.844644 6.0004827,5358,324227896,41966342,0,Beitel,unclassified,64.65148576814215
Mw. Bakker 87,"Italiëlaan 26, 6414TP Heerlen",50.925011 5.9699346,5078,42071501,42072001,0,Italiëlaan,residential,11.898270446158522
Mw. Mulder 88,"Parallelweg 137, 6411NT Heerlen",50.8908721 5.9657884,2349,42037369,42037968,0,Parallelweg,living_street,14.458465697054358
Mw. van Leeuwen 89,"Kloosterkoolhof 26D, 6415XT Heerlen",50.8910272 5.987952,2352,42037383,42040277,0,Kloosterkoolhof,residential,15.51197431343133
Dhr. Vos 90,"Gravenstraat 28, 6413ES Heerlen",50.915118 5.9580691,4464,42062582,695257458,0,Gravenstraat,residential,6.8491043803915
Mw. Kok 91,"Talmastraat 34, 6415HE Heerlen",50.8972321 5.9864112,3032,42045070,42044919,0,Talmastraat,living_street,18.11498813739071
Mw. van den Berg 92,"Paulus Potterstraat 5, 6415TW Heerlen",50.8992867 5.9921575,3259,42046919,42047634,0,Paulus Potterstraat,residential,10.245425638859132
Dhr. de Jong 93,"Kampstraat 236, 6414RH Heerlen",50.9228834 5.9619443,4955,42069974,42070173,0,Kampstraat,residential,14.354680589127302
Dhr. Meijer 94,"Geerstraat 214, 6411NW Heerlen",50.8884539 5.9736781,2175,42033188,1505263383,0,Geerstraat,residential,14.342293710426054
Dhr. Bos 95,"Benzenrade 38C, 6419PH Heerlen",50.8642076 5.9762971,200,41993801,41994845,0,Benzenrade,unclassified | residential,18.081939637633354
Dhr. Kramer 96,"Gasthuisstraat 47, 6416AM Heerlen",50.8881082 5.9860769,2225,42034134,42035436,0,Gasthuisstraat,tertiary,72.83904915448868
Dhr. Dekker 97,"In de Cramer 15, 6411RS Heerlen",50.8950474 5.957035,2689,42041935,42042817,0,In de Cramer,tertiary,8.168440537016748
Dhr. Postma 98,"Drieoortsput 86, 6417PN Heerlen",50.8686031 5.9821028,447,42003018,42002137,0,John F. Kennedylaan,tertiary,46.754622288490644
Mw. Martens 99,"Frankenlaan 1N, 6419BT Heerlen",50.8779418 5.9680263,1438,42017831,42020215,0,Frankenlaan,residential,28.06058241158553
