name,address,coordinates,care_arrangement,availability,time_window_start,time_window_end,care_hours,dogs,cats,smokes
Mw. Martens 26,"Hamerstraat 103, 6411CV Heerlen",50.8811851 5.9767134,V&V,"monday,tuesday,wednesday,thursday,friday",14:30,18:00,2.5,2,1,true
Dhr. Hendriks 27,"Tulpstraat 63-GB04,  Heerlen",50.9235901 5.9630637,HBH Basic,"monday,tuesday,wednesday,thursday",14:30,17:00,1,0,1,false
Mw. Postma 28,"Valkenburgerweg 24-GB04, 6411BN Heerlen",50.8861421 5.9745107,Wash & Ironing,"monday,wednesday,thursday,friday",14:00,18:00,3,0,0,false
Mw. Mulder 29,"Van Weerden Poelmanstraat 115, 6417EL Heerlen",50.8749504 5.9835602,HBH Basic,"monday,tuesday,wednesday,thursday,friday",15:00,18:00,1,2,0,true
Dhr. van Dijk 30,"Coriovallumstraat 38A, 6411CD Heerlen",50.8847953 5.973849,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,2,0,2,false
Dhr. Schouten 31,"Benzenraderweg 65, 6417SK Heerlen",50.8804356 5.9790276,V&V,"tuesday,wednesday,thursday,friday",15:30,18:00,1.5,0,0,false
Dhr. Vermeulen 32,"Ligusterstraat 8, 6413JB Heerlen",50.9201178 5.9587681,Wash & Ironing,"monday,tuesday,thursday,friday",14:30,18:00,2.5,0,0,false
Dhr. Visser 33,"Jan Campertstraat 13-GB20, 6416SG Heerlen",50.8812731 6.0083672,V&V,"tuesday,wednesday,thursday,friday",14:30,16:30,1,0,0,true
Mw. Smit 34,"Akerstraat 12B, 6411HA Heerlen",50.8866452 5.9795177,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:00,17:00,1.5,0,0,false
Dhr. de Boer 35,"Gasthuisstraat 45, 6416AM Heerlen",50.8884922 5.9876785,Wash & Ironing,"monday,tuesday,wednesday,friday",14:30,18:00,2.5,0,2,false
Dhr. Bakker 36,"Peter Schunckstraat 606, 6418XT Heerlen",50.8641997 6.0102173,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,2.5,1,1,false
Mw. Kramer 37,"Riekhof 14, 6418KD Heerlen",50.8693686 6.0133491,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,2,0,0,false
Dhr. Bakker 38,"Alberdingk Thijmplein 4, 6416TJ Heerlen",50.8832912 5.9981956,V&V,"monday,tuesday,wednesday,thursday,friday",15:00,17:30,1.5,0,2,true
Dhr. Postma 39,"Van Weerden Poelmanstraat 97, 6417EL Heerlen",50.8750911 5.9834788,V&V,"tuesday,wednesday,thursday,friday",14:00,18:00,3,1,0,true
Dhr. Kok 40,"Geerlinglaan 11, 6415XE Heerlen",50.8925912 5.9853162,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:30,18:00,2,0,1,true
Mw. Bakker 41,"Palestinastraat 310, 6418HP Heerlen",50.8689542 6.0107724,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:30,18:00,2,1,0,true
Mw. de Jong 42,"Vullingsweg 54-K116, 6418HT Heerlen",50.869987 6.005348,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:30,17:00,1.5,0,1,true
Dhr. Kok 43,"Jan Campertstraat 13-GB64, 6416SG Heerlen",50.8816998 6.0086071,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:30,18:00,3,2,2,false
Dhr. van Loon 44,"Palestinastraat 280, 6418HP Heerlen",50.8678886 6.0120088,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:00,16:30,2,0,0,true
Mw. van Dijk 45,"Heerenweg 205A, 6414AG Heerlen",50.9221545 5.975525,HBH Plus,"monday,tuesday,wednesday,friday",15:30,17:30,1,1,2,false
Mw. van der Meer 46,"Hertstraat 1, 6414CH Heerlen",50.9155146 5.9745851,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,2.5,0,0,false
Mw. van Loon 47,"Grasbroekerweg 30A, 6412BE Heerlen",50.8943697 5.975717,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,1.5,0,1,true
Dhr. Vos 48,"Pancratiusstraat 96, 6411KC Heerlen",50.8882602 5.9810893,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:30,17:30,2,0,0,false
Dhr. Jacobs 49,"Hofstraat 66, 6414SX Heerlen",50.9245405 5.973012,V&V,"tuesday,wednesday,thursday,friday",14:30,17:00,2,0,2,true
Dhr. Hermans 50,"Homeruspassage 18, 6411AX Heerlen",50.8858304 5.9698793,HBH Basic,"monday,tuesday,thursday,friday",14:00,17:30,2.5,0,0,false
Dhr. Hendriks 51,"Peter Schunckstraat 254, 6418XH Heerlen",50.8630865 6.0082392,Wash & Ironing,"tuesday,wednesday,thursday,friday",14:00,18:00,3,0,0,false
Mw. de Graaf 52,"Netelstraat 83, 6413SN Heerlen",50.917894 5.9580022,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,3,0,1,false
Dhr. de Graaf 53,"Ganzeweide 156A, 6413GJ Heerlen",50.9173265 5.9508855,HBH Plus,"monday,wednesday,thursday,friday",14:00,17:30,3,2,1,false
Dhr. Bakker 54,"Vergiliusstraat 1A, 6417XA Heerlen",50.8779301 5.9797512,Wash & Ironing,"tuesday,wednesday,thursday,friday",14:00,17:30,2,0,0,false
Mw. de Graaf 55,"Frans Halsstraat 6, 6415TH Heerlen",50.9003376 5.9904336,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,2.5,0,2,false
Mw. de Vries 56,"Mesdagstraat 27, 6415TK Heerlen",50.8987633 5.9902372,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,17:00,1.5,0,1,true
Mw. Kuipers 57,"Liviusstraat 10-GB18,  Heerlen",50.8765557 5.978455,Wash & Ironing,"tuesday,wednesday,thursday,friday",14:30,17:30,1.5,2,0,true
Mw. Jacobs 58,"Dillegaard 144-GB45,  Heerlen",50.8704047 5.9794507,HBH Plus,"monday,wednesday,thursday,friday",15:00,17:00,1.5,0,0,false
Mw. Bakker 59,"Maanplein 35, 6412AZ Heerlen",50.8918475 5.9746256,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:00,17:00,1.5,0,0,true
Mw. Peters 60,"Dr. de Visserstraat 6, 6415HJ Heerlen",50.8979843 5.9881059,Wash & Ironing,"monday,wednesday,thursday,friday",14:00,18:00,3,1,0,false
Dhr. Jacobs 61,"Anemoon 12, 6418NM Heerlen",50.8610292 6.0006587,HBH Basic,"tuesday,wednesday,thursday,friday",16:00,18:00,1.5,0,1,false
Dhr. Vermeulen 62,"Putgraaf 5, 6411GT Heerlen",50.8865314 5.9815941,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,3,0,1,false
Dhr. Schouten 63,"Putgraaf 478, 6411KN Heerlen",50.8870305 5.9850058,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,16:30,2,0,0,false
Mw. Meijer 64,"Dillegaard 191, 6417HL Heerlen",50.8704124 5.9795401,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,3,0,1,false
Mw. van Leeuwen 65,"Promenade 181, 6411JG Heerlen",50.8869583 5.9754659,Wash & Ironing,"monday,tuesday,wednesday,friday",14:00,18:00,3,0,0,true
Mw. van Dijk 66,"Maanplein 34, 6412AZ Heerlen",50.8918468 5.9746146,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,2,1,1,false
Mw. Bos 67,"Johannes Vermeerstraat 4, 6415TR Heerlen",50.8997723 5.9933272,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,3,1,0,false
Dhr. van den Berg 68,"Nazarethstraat 30, 6418GD Heerlen",50.868163 6.0076985,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,2,1,2,false
Mw. Meijer 69,"Raadhuisplein 18-K49, 6411HK Heerlen",50.8858869 5.9770839,V&V,"monday,tuesday,thursday,friday",14:30,18:00,2,0,0,true
Dhr. Willems 70,"Leienhoesstraat 30, 6413CG Heerlen",50.9140979 5.9654213,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,2.5,0,0,true
Mw. Mulder 71,"Pancratiusstraat 50, 6411KC Heerlen",50.8882901 5.9810052,V&V,"monday,tuesday,wednesday,thursday,friday",14:30,18:00,3,2,0,false
Dhr. Dekker 72,"Titus Brandsmastraat 25, 6414BK Heerlen",50.9142258 5.9689164,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:30,17:00,1,0,0,false
Mw. Jansen 73,"Edisonstraat 61, 6412TR Heerlen",50.9009003 5.9725944,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:30,18:00,2,0,1,false
Mw. de Boer 74,"Johannes XXIII-singel 92-GB07,  Heerlen",50.8744374 5.9919866,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:30,17:30,2.5,1,0,true
Dhr. Schouten 75,"Tulpstraat 60, 6414RE Heerlen",50.9238593 5.9635871,V&V,"monday,tuesday,wednesday,thursday",14:00,16:30,1.5,1,0,false
Mw. Martens 76,"Geerstraat 258, 6411NW Heerlen",50.8884582 5.9736771,V&V,"monday,wednesday,thursday,friday",14:00,17:30,3,1,1,false
Mw. Postma 77,"Van Weerden Poelmanstraat 50-GB06,  Heerlen",50.8752985 5.9825716,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",15:00,17:30,2,0,0,false
Dhr. Vermeulen 78,"Annie M.G. Schmidt-plantsoen 3, 6416VT Heerlen",50.8863785 6.0024001,Wash & Ironing,"tuesday,wednesday,thursday,friday",15:00,16:30,1,0,0,false
Dhr. van der Meer 79,"Molenwei 354, 6412WE Heerlen",50.8932101 5.9815715,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:30,17:30,1.5,0,1,false
Mw. Peters 80,"Bredastraat 5, 6415AS Heerlen",50.8927348 5.9957666,HBH Plus,"tuesday,wednesday,thursday,friday",15:00,18:00,1,0,2,false
Mw. Willems 81,"Schaesbergerweg 101A, 6415AD Heerlen",50.8914177 5.9908083,HBH Plus,"tuesday,wednesday,thursday,friday",14:30,18:00,2.5,0,0,true
Dhr. Hermans 82,"Kloosterkoolhof 28F, 6415XT Heerlen",50.8913671 5.9877201,HBH Basic,"monday,tuesday,wednesday,thursday,friday",16:00,18:00,1,2,0,true
Mw. Kok 83,"Donderdagstraat 9-GB38,  Heerlen",50.8853564 5.9958273,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,3,0,0,false
Dhr. Peters 84,"Uilestraat 10, 6411BX Heerlen",50.8861588 5.9763399,HBH Basic,"monday,tuesday,thursday,friday",15:00,17:00,1,0,1,false
Dhr. de Jong 85,"Winterstraat 14, 6411GM Heerlen",50.8846645 5.9852309,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,2,0,0,false
Mw. Bakker 86,"Beitel 106, 6422PB Heerlen",50.844644 6.0004827,Wash & Ironing,"monday,tuesday,thursday,friday",14:00,17:00,2.5,0,0,false
Mw. Bakker 87,"Italiëlaan 26, 6414TP Heerlen",50.925011 5.9699346,HBH Plus,"monday,tuesday,wednesday,friday",14:00,18:00,2,0,0,false
Mw. Mulder 88,"Parallelweg 137, 6411NT Heerlen",50.8908721 5.9657884,HBH Basic,"monday,wednesday,thursday,friday",14:00,17:30,3,2,0,false
Mw. van Leeuwen 89,"Kloosterkoolhof 26D, 6415XT Heerlen",50.8910272 5.987952,HBH Plus,"monday,tuesday,thursday,friday",14:00,18:00,3,0,0,false
Dhr. Vos 90,"Gravenstraat 28, 6413ES Heerlen",50.915118 5.9580691,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:30,16:30,1,0,0,false
Mw. Kok 91,"Talmastraat 34, 6415HE Heerlen",50.8972321 5.9864112,Wash & Ironing,"monday,tuesday,wednesday,friday",14:00,18:00,2.5,0,1,false
Mw. van den Berg 92,"Paulus Potterstraat 5, 6415TW Heerlen",50.8992867 5.9921575,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:00,16:30,1,0,0,false
Dhr. de Jong 93,"Kampstraat 236, 6414RH Heerlen",50.9228834 5.9619443,V&V,"tuesday,wednesday,thursday,friday",14:30,18:00,2,0,2,false
Dhr. Meijer 94,"Geerstraat 214, 6411NW Heerlen",50.8884539 5.9736781,HBH Plus,"monday,tuesday,wednesday,thursday",14:00,18:00,3,0,0,false
Dhr. Bos 95,"Benzenrade 38C, 6419PH Heerlen",50.8642076 5.9762971,HBH Plus,"monday,wednesday,thursday,friday",14:00,18:00,3,0,1,false
Dhr. Kramer 96,"Gasthuisstraat 47, 6416AM Heerlen",50.8881082 5.9860769,V&V,"monday,tuesday,wednesday,thursday,friday",15:00,18:00,2,0,0,true
Dhr. Dekker 97,"In de Cramer 15, 6411RS Heerlen",50.8950474 5.957035,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,1.5,0,0,false
Dhr. Postma 98,"Drieoortsput 86, 6417PN Heerlen",50.8686031 5.9821028,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:30,17:30,1.5,0,2,false
Mw. Martens 99,"Frankenlaan 1N, 6419BT Heerlen",50.8779418 5.9680263,HBH Plus,"monday,tuesday,wednesday,thursday",14:00,17:00,1.5,0,0,true
