client,employee,day,startTime,lat,lon
Client 61,Max Willems,4,15:00,50.8752985,5.9825716
Client 62,Emma Visser,4,10:00,50.8869583,5.9754659
Client 63,Zoë Kuipers,0,16:00,50.925011,5.9699346
Client 64,Anne Verhoeven,2,10:00,50.8678886,6.0120088
Client 65,Zoë Kuipers,1,13:00,50.8779301,5.9797512
Client 66,Zoë Kuipers,4,10:00,50.9193216,5.9595728
Client 67,Tess Bos,3,10:00,50.8847953,5.973849
Client 68,Lotte Jacobs,2,12:00,50.8849685,5.9788965
Client 69,Sophie de Vries,3,10:00,50.915118,5.9580691
Client 70,Sophie de Vries,1,12:00,50.844644,6.0004827
Client 71,Bram Vos,0,08:00,50.8918475,5.9746256
Client 72,Lars Jansen,3,16:00,50.8723078,5.9938468
Client 73,Noah Smit,0,12:00,50.8861421,5.9745107
Client 74,Nina Hermans,0,14:00,50.8884539,5.9736781
Client 75,Emma Visser,1,10:00,50.8812731,6.0083672
Client 76,Tess Bos,4,15:00,50.8896677,5.9651524
Client 77,Nina Hermans,2,14:00,50.8693686,6.0133491
Client 78,Milan Bakker,0,12:00,50.8882901,5.9810052
Client 79,Bram Vos,4,13:00,50.8686031,5.9821028
Client 80,Emma Visser,3,10:00,50.8758503,5.9641007
Client 81,Julia Meijer,1,12:00,50.9181908,5.9544672
Client 82,Nina Hermans,1,12:00,50.8985557,5.9624005
Client 83,Julia Meijer,3,12:00,50.8852271,5.9809464
Client 84,Milan Bakker,2,12:00,50.8876999,5.9825484
Client 85,Noah Smit,1,08:00,50.8804356,5.9790276
Client 86,Julia Meijer,2,09:00,50.8950474,5.957035
Client 87,Sem Peters,2,12:00,50.8723311,6.0076775
Client 88,Milan Bakker,1,12:00,50.8884582,5.9736771
Client 89,Sem Peters,1,16:00,50.8704047,5.9794507
Client 90,Lotte Jacobs,4,13:00,50.8861588,5.9763399
Client 91,Lars Jansen,0,08:00,50.8884922,5.9876785
Client 92,Max Willems,3,10:00,50.8927348,5.9957666
Client 93,Sem Peters,4,12:00,50.874236,5.9876054
Client 94,Daan Mulder,4,14:00,50.9009069,5.9726029
Client 95,Emma Visser,0,08:00,50.8881082,5.9860769
Client 96,Daan Mulder,3,16:00,50.8992867,5.9921575
Client 97,Thijs van Leeuwen,4,12:00,50.8704124,5.9795401
Client 98,Anne Verhoeven,4,12:00,50.9173265,5.9508855
Client 99,Julia Meijer,0,12:00,50.8866452,5.9795177
Client 100,Emma Visser,2,08:00,50.8744374,5.9919866
